module,incoming_coupling,outgoing_coupling,instability
/lib/application.js,1,3,0.75
/lib/config/database.js,1,0,0
/lib/config/index.js,2,3,0.6
/lib/config/jwt.js,1,0,0
/lib/config/openid.js,1,0,0
/lib/database/adapters/AttachmentAdapter.js,2,0,0
/lib/database/adapters/FlpAdapter.js,1,0,0
/lib/database/adapters/FlpRunsAdapter.js,1,0,0
/lib/database/adapters/index.js,10,10,0.5
/lib/database/adapters/LogAdapter.js,1,4,0.8
/lib/database/adapters/LogRunsAdapter.js,1,0,0
/lib/database/adapters/LogTagsAdapter.js,1,0,0
/lib/database/adapters/RunAdapter.js,1,1,0.5
/lib/database/adapters/SubsystemAdapter.js,2,0,0
/lib/database/adapters/TagAdapter.js,3,0,0
/lib/database/adapters/UserAdapter.js,2,0,0
/lib/database/index.js,46,10,0.17857142857142858
/lib/database/models/attachment.js,1,1,0.5
/lib/database/models/epnrolesession.js,1,1,0.5
/lib/database/models/flprole.js,1,1,0.5
/lib/database/models/index.js,1,8,0.8888888888888888
/lib/database/models/log.js,1,1,0.5
/lib/database/models/run.js,1,1,0.5
/lib/database/models/subsystem.js,1,1,0.5
/lib/database/models/tag.js,1,1,0.5
/lib/database/models/user.js,1,1,0.5
/lib/database/repositories/AttachmentRepository.js,1,3,0.75
/lib/database/repositories/FlpRepository.js,1,2,0.6666666666666666
/lib/database/repositories/FlpRunNumberRepository.js,1,3,0.75
/lib/database/repositories/index.js,1,10,0.9090909090909091
/lib/database/repositories/LogRepository.js,1,2,0.6666666666666666
/lib/database/repositories/LogRunNumberRepository.js,1,3,0.75
/lib/database/repositories/LogRunsRepository.js,1,3,0.75
/lib/database/repositories/LogTagsRepository.js,1,3,0.75
/lib/database/repositories/Repository.js,12,1,0.07692307692307693
/lib/database/repositories/RunRepository.js,1,2,0.6666666666666666
/lib/database/repositories/RunTagsRepository.js,1,2,0.6666666666666666
/lib/database/repositories/SubsystemRepository.js,1,2,0.6666666666666666
/lib/database/repositories/TagRepository.js,1,2,0.6666666666666666
/lib/database/repositories/UserRepository.js,1,3,0.75
/lib/database/tables/flpruns.js,1,1,0.5
/lib/database/tables/index.js,1,4,0.8
/lib/database/tables/logruns.js,1,1,0.5
/lib/database/tables/logtags.js,1,1,0.5
