module,wmc
/lib/application.js,9
/lib/config/openid.js,4
/lib/database/adapters/AttachmentAdapter.js,2
/lib/database/adapters/FlpAdapter.js,5
/lib/database/adapters/FlpRunsAdapter.js,2
/lib/database/adapters/LogAdapter.js,12
/lib/database/adapters/LogRunsAdapter.js,2
/lib/database/adapters/LogTagsAdapter.js,2
/lib/database/adapters/RunAdapter.js,3
/lib/database/adapters/SubsystemAdapter.js,2
/lib/database/adapters/TagAdapter.js,2
/lib/database/adapters/UserAdapter.js,3
/lib/database/index.js,16
/lib/database/migrations/20200505195925-create-log.js,2
/lib/database/migrations/20200505205233-create-user.js,2
/lib/database/migrations/20200505214213-create-run.js,2
/lib/database/migrations/20200506003500-create-tag.js,2
/lib/database/migrations/20200506004950-create-flp-roles.js,2
/lib/database/migrations/20200506093229-create-epn-role-session.js,2
/lib/database/migrations/20200507202304-create-log-runs.js,2
/lib/database/migrations/20200507230653-create-log-tags.js,2
/lib/database/migrations/20200508115356-add-associations.js,6
/lib/database/migrations/20200508120618-create-run_tags.js,2
/lib/database/migrations/20200508154634-log-indexes.js,4
/lib/database/migrations/20200511132541-log-tags-relation.js,4
/lib/database/migrations/20200511132542-log-runs-relation.js,4
/lib/database/migrations/20200525101348-create-subsystem.js,2
/lib/database/migrations/20200525135006-log-subsystems-relation.js,4
/lib/database/migrations/20200621102228-user.js,4
/lib/database/migrations/20200623201423-create-attachment.js,2
/lib/database/migrations/20200623201424-attachment-indexes.js,2
/lib/database/migrations/20200724114841-add-run-number.js,2
/lib/database/migrations/20200914120527-logs-remove-user-constraint.js,2
/lib/database/migrations/20200921180609-add-flp-readout-bytes.js,4
/lib/database/migrations/20201021084028-create-flp-runs.js,2
/lib/database/migrations/20201021084436-flp-runs-relation.js,4
/lib/database/migrations/20201121200636-run-tags-relation.js,4
/lib/database/models/attachment.js,2
/lib/database/models/epnrolesession.js,1
/lib/database/models/flprole.js,2
/lib/database/models/index.js,3
/lib/database/models/log.js,2
/lib/database/models/run.js,2
/lib/database/models/subsystem.js,2
/lib/database/models/tag.js,2
/lib/database/models/user.js,2
/lib/database/repositories/AttachmentRepository.js,3
/lib/database/repositories/FlpRepository.js,7
/lib/database/repositories/FlpRunNumberRepository.js,3
/lib/database/repositories/LogRepository.js,8
/lib/database/repositories/LogRunNumberRepository.js,3
/lib/database/repositories/LogRunsRepository.js,6
/lib/database/repositories/LogTagsRepository.js,6
/lib/database/repositories/Repository.js,8
/lib/database/repositories/RunRepository.js,1
/lib/database/repositories/RunTagsRepository.js,3
/lib/database/repositories/SubsystemRepository.js,1
/lib/database/repositories/TagRepository.js,1
/lib/database/repositories/UserRepository.js,1
/lib/database/seeders/20200426144121-users.js,2
/lib/database/seeders/20200508094502-logs.js,2
/lib/database/seeders/20200511151010-tags.js,2
/lib/database/seeders/20200511151016-log-tags.js,2
/lib/database/seeders/20200606151010-subsystems.js,2
/lib/database/seeders/20200606301010-log-subsystems.js,2
/lib/database/seeders/20200713103855-runs.js,2
/lib/database/seeders/20200731155608-log-runs.js,2
/lib/database/seeders/20200921181553-flps.js,2
/lib/database/seeders/20201021083549-flp-runs.js,2
/lib/database/tables/flpruns.js,1
/lib/database/tables/index.js,3
/lib/database/tables/logruns.js,1
/lib/database/tables/logtags.js,1
/lib/database/tables/runtags.js,1
/lib/database/utilities/index.js,1
/lib/database/utilities/QueryBuilder.js,37
/lib/database/utilities/TransactionHelper.js,4
/lib/domain/dtos/GetAllLogsDto.js,3
/lib/main.js,1
/lib/presentation/log/toTreeView.js,8
/lib/public/components/common/errorAlert.js,2
/lib/public/components/common/markdown.js,9
/lib/public/components/common/spinner.js,2
/lib/public/components/Filters/FlpsFilter/index.js,7
/lib/public/components/Filters/LogsFilter/author.js,2
/lib/public/components/Filters/LogsFilter/created.js,6
/lib/public/components/Filters/LogsFilter/index.js,5
/lib/public/components/Filters/LogsFilter/runs.js,2
/lib/public/components/Filters/LogsFilter/tags.js,12
/lib/public/components/Filters/LogsFilter/title.js,2
/lib/public/components/Filters/RunsFilter/index.js,7
/lib/public/components/FlpRun/index.js,11
/lib/public/components/NavBar/index.js,13
/lib/public/components/Pagination/amountSelector.js,16
/lib/public/components/Pagination/pageSelector.js,18
/lib/public/components/Post/index.js,31
/lib/public/components/PostCollapsed/index.js,13
/lib/public/components/RunDetail/index.js,14
/lib/public/components/Table/headers.js,11
/lib/public/components/Table/index.js,2
/lib/public/components/Table/rows.js,23
/lib/public/Model.js,9
/lib/public/utilities/export.js,5
/lib/public/utilities/pick.js,2
/lib/public/utilities/removeElement.js,2
/lib/public/utilities/scrollTo.js,5
/lib/public/utilities/targetURL.js,5
/lib/public/view.js,4
/lib/public/views/About/About.js,1
/lib/public/views/About/Overview/index.js,2
/lib/public/views/Flps/ActiveColumns/index.js,1
/lib/public/views/Flps/Details/index.js,15
/lib/public/views/Flps/Flps.js,28
/lib/public/views/Flps/Overview/index.js,15
/lib/public/views/Home/Overview/index.js,10
/lib/public/views/Logs/ActiveColumns/index.js,17
/lib/public/views/Logs/Create/index.js,16
/lib/public/views/Logs/Details/index.js,15
/lib/public/views/Logs/Logs.js,160
/lib/public/views/Logs/Overview/index.js,13
/lib/public/views/Runs/ActiveColumns/index.js,16
/lib/public/views/Runs/ActiveColumnsLogs/index.js,13
/lib/public/views/Runs/Details/index.js,36
/lib/public/views/Runs/Export/index.js,11
/lib/public/views/Runs/Overview/index.js,15
/lib/public/views/Runs/Runs.js,71
/lib/public/views/Subsystems/Details/index.js,22
/lib/public/views/Subsystems/Overview/index.js,10
/lib/public/views/Subsystems/Subsystems.js,15
/lib/public/views/Tags/ActiveColumns/index.js,1
/lib/public/views/Tags/Create/index.js,9
/lib/public/views/Tags/Details/index.js,20
/lib/public/views/Tags/Overview/index.js,15
/lib/public/views/Tags/Tags.js,38
/lib/server/controllers/attachments.controller.js,5
/lib/server/controllers/auth.controller.js,2
/lib/server/controllers/createpdf.controller.js,2
/lib/server/controllers/flp.controller.js,1
/lib/server/controllers/flps.controller.js,14
/lib/server/controllers/home.controller.js,2
/lib/server/controllers/logs.controller.js,21
/lib/server/controllers/overviews.controller.js,1
/lib/server/controllers/runs.controller.js,20
/lib/server/controllers/settings.controller.js,1
/lib/server/controllers/subsystems.controller.js,14
/lib/server/controllers/tags.controller.js,16
/lib/server/controllers/users.controller.js,5
/lib/server/index.js,14
/lib/server/middleware/multer.middleware.js,2
/lib/server/routers/index.js,23
/lib/server/utilities/appendPath.js,7
/lib/server/utilities/dtoValidator.js,4
/lib/usecases/attachment/CreateAttachmentUseCase.js,2
/lib/usecases/attachment/GetAttachmentUseCase.js,2
/lib/usecases/flp/CreateFlpUseCase.js,10
/lib/usecases/flp/GetAllFlpsUseCase.js,3
/lib/usecases/flp/GetFlpUseCase.js,3
/lib/usecases/flp/GetLogsByFlpUseCase.js,4
/lib/usecases/flp/UpdateFlpUseCase.js,4
/lib/usecases/log/CreateLogUseCase.js,13
/lib/usecases/log/GetAllLogAttachmentsUseCase.js,6
/lib/usecases/log/GetAllLogsUseCase.js,17
/lib/usecases/log/GetLogAttachmentUseCase.js,4
/lib/usecases/log/GetLogTreeUseCase.js,3
/lib/usecases/log/GetLogUseCase.js,3
/lib/usecases/run/EndRunUseCase.js,4
/lib/usecases/run/GetAllRunsUseCase.js,3
/lib/usecases/run/GetFlpsByRunUseCase.js,3
/lib/usecases/run/GetLogsByRunUseCase.js,4
/lib/usecases/run/GetRunByRunNumberUseCase.js,3
/lib/usecases/run/GetRunUseCase.js,3
/lib/usecases/run/StartRunUseCase.js,4
/lib/usecases/run/UpdateRunTagsUseCase.js,10
/lib/usecases/server/GetDeployInformationUseCase.js,1
/lib/usecases/server/GetServerInformationUseCase.js,1
/lib/usecases/subsystem/CreateSubsystemUseCase.js,4
/lib/usecases/subsystem/DeleteSubsystemUseCase.js,3
/lib/usecases/subsystem/GetAllSubsystemsUseCase.js,2
/lib/usecases/subsystem/GetLogsBySubsystemUseCase.js,4
/lib/usecases/subsystem/GetSubsystemUseCase.js,3
/lib/usecases/tag/CreateTagUseCase.js,4
/lib/usecases/tag/DeleteTagUseCase.js,3
/lib/usecases/tag/GetAllTagsUseCase.js,4
/lib/usecases/tag/GetLogsByTagUseCase.js,3
/lib/usecases/tag/GetTagUseCase.js,3
/lib/usecases/user/CreateOrUpdateUser.js,7
/lib/utilities/deepmerge.js,4
/lib/utilities/isPromise.js,5
/lib/utilities/Logger.js,8
