,ruleId,severity,message,line,column,nodeType,messageId,endLine,endColumn,filePath
0,complexity,2,Async method 'run' has a complexity of 4. Maximum allowed is 1.,45,14,FunctionExpression,complex,68,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/application.js
1,complexity,2,Async method 'stop' has a complexity of 3. Maximum allowed is 1.,75,15,FunctionExpression,complex,90,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/application.js
2,complexity,2,Arrow function 'isValid' has a complexity of 4. Maximum allowed is 1.,40,14,ArrowFunctionExpression,complex,40,98,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/config/openid.js
3,complexity,2,Static method 'toEntity' has a complexity of 3. Maximum allowed is 1.,24,20,FunctionExpression,complex,57,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/adapters/FlpAdapter.js
4,complexity,2,Static method 'toEntity' has a complexity of 8. Maximum allowed is 1.,29,20,FunctionExpression,complex,88,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/adapters/LogAdapter.js
5,complexity,2,Static method 'toDatabase' has a complexity of 3. Maximum allowed is 1.,96,22,FunctionExpression,complex,116,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/adapters/LogAdapter.js
6,complexity,2,Static method 'toEntity' has a complexity of 2. Maximum allowed is 1.,26,20,FunctionExpression,complex,69,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/adapters/RunAdapter.js
7,complexity,2,Static method 'toEntity' has a complexity of 2. Maximum allowed is 1.,24,20,FunctionExpression,complex,38,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/adapters/UserAdapter.js
8,complexity,2,Constructor has a complexity of 2. Maximum allowed is 1.,28,16,FunctionExpression,complex,43,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/index.js
9,complexity,2,Async method 'connect' has a complexity of 2. Maximum allowed is 1.,78,18,FunctionExpression,complex,89,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/index.js
10,complexity,2,Async method 'disconnect' has a complexity of 2. Maximum allowed is 1.,96,21,FunctionExpression,complex,107,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/index.js
11,complexity,2,Async method 'dropAllTables' has a complexity of 2. Maximum allowed is 1.,114,24,FunctionExpression,complex,125,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/index.js
12,complexity,2,Async method 'migrate' has a complexity of 2. Maximum allowed is 1.,132,18,FunctionExpression,complex,154,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/index.js
13,complexity,2,Async method 'seed' has a complexity of 2. Maximum allowed is 1.,161,15,FunctionExpression,complex,180,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/index.js
14,complexity,2,Async arrow function 'up' has a complexity of 2. Maximum allowed is 1.,15,9,ArrowFunctionExpression,complex,64,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/migrations/20200525135006-log-subsystems-relation.js
15,complexity,2,Async arrow function 'down' has a complexity of 2. Maximum allowed is 1.,66,11,ArrowFunctionExpression,complex,76,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/migrations/20200525135006-log-subsystems-relation.js
16,complexity,2,Async arrow function 'up' has a complexity of 2. Maximum allowed is 1.,15,9,ArrowFunctionExpression,complex,33,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/migrations/20200621102228-user.js
17,complexity,2,Async arrow function 'down' has a complexity of 2. Maximum allowed is 1.,35,11,ArrowFunctionExpression,complex,52,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/migrations/20200621102228-user.js
18,complexity,2,Async arrow function 'up' has a complexity of 2. Maximum allowed is 1.,15,9,ArrowFunctionExpression,complex,33,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/migrations/20200921180609-add-flp-readout-bytes.js
19,complexity,2,Async arrow function 'down' has a complexity of 2. Maximum allowed is 1.,35,11,ArrowFunctionExpression,complex,47,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/migrations/20200921180609-add-flp-readout-bytes.js
20,complexity,2,Arrow function has a complexity of 2. Maximum allowed is 1.,35,36,ArrowFunctionExpression,complex,39,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/models/index.js
21,complexity,2,Async method 'bulkInsert' has a complexity of 2. Maximum allowed is 1.,39,21,FunctionExpression,complex,44,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/AttachmentRepository.js
22,complexity,2,Arrow function has a complexity of 2. Maximum allowed is 1.,49,25,ArrowFunctionExpression,complex,54,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/FlpRepository.js
23,complexity,2,Async method 'bulkInsert' has a complexity of 2. Maximum allowed is 1.,39,21,FunctionExpression,complex,44,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/FlpRunNumberRepository.js
24,complexity,2,Arrow function has a complexity of 2. Maximum allowed is 1.,49,25,ArrowFunctionExpression,complex,54,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/LogRepository.js
25,complexity,2,Async method 'bulkInsert' has a complexity of 2. Maximum allowed is 1.,39,21,FunctionExpression,complex,44,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/LogRunNumberRepository.js
26,complexity,2,Arrow function has a complexity of 2. Maximum allowed is 1.,45,45,ArrowFunctionExpression,complex,52,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/LogRunsRepository.js
27,complexity,2,Arrow function has a complexity of 2. Maximum allowed is 1.,45,45,ArrowFunctionExpression,complex,52,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/LogTagsRepository.js
28,complexity,2,Async method 'removeOne' has a complexity of 2. Maximum allowed is 1.,91,20,FunctionExpression,complex,100,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/repositories/Repository.js
29,complexity,2,Arrow function has a complexity of 2. Maximum allowed is 1.,27,36,ArrowFunctionExpression,complex,31,6,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/tables/index.js
30,complexity,2,Method 'is' has a complexity of 2. Maximum allowed is 1.,40,11,FunctionExpression,complex,50,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/utilities/QueryBuilder.js
31,complexity,2,Method 'allOf' has a complexity of 2. Maximum allowed is 1.,58,14,FunctionExpression,complex,68,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/utilities/QueryBuilder.js
32,complexity,2,Method 'oneOf' has a complexity of 2. Maximum allowed is 1.,76,14,FunctionExpression,complex,86,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/utilities/QueryBuilder.js
33,complexity,2,Method 'between' has a complexity of 2. Maximum allowed is 1.,95,16,FunctionExpression,complex,105,10,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/database/utilities/QueryBuilder.js
